district,trump16_margin,obama12_margin,house_dem18_margin,house_dem_avg_margin,rpt,incumbent_party,safety,house_dem20_margin,house20_winner,govtrack_ideology,last_name
FL-23,-0.261,0.2339999999999999,0.2249372209316631,0.2292028722193578,0.91,D,Safe,0.1629999999999999,Dem,0.1773517966925443,b'Wasserman Schultz'
FL-24,-0.675,0.718,1.0,0.6900255472991902,0.98,D,Safe,0.536,Dem,0.1055850395942698,b'Wilson'
FL-25,0.018,-0.096,-0.2090676313749442,-0.5531839283516216,0.0,R,Safe,-1.0,Rep,0.611850827330129,b'Diaz-Balart'
FL-26,-0.1629999999999999,0.115,0.0174923027922284,-0.0058441879303335,0.95,D,Vulnerable,-0.034,Rep,0.2278335203478496,b'Mucarsel-Powell'
FL-27,-0.196,0.067,0.0599993665523821,-0.3175436560089921,0.93,D,Safe,-0.027,Rep,0.24847041202921,b'Shalala'
GA-1,0.155,-0.1289999999999999,-0.1547731597276241,-0.4071229331050552,0.94,R,Safe,-0.1679999999999999,Rep,0.7130058670838739,b'Carter'
GA-2,-0.117,0.178,0.1929868962477801,0.2190876985036697,0.85,D,Safe,0.182,Dem,0.3747662292520845,b'Bishop'
GA-3,0.315,-0.329,-0.3105260643126761,-0.6693645059491067,0.92,R,Safe,-0.3,Rep,0.6549992225075774,b'Ferguson'
GA-4,-0.5309999999999999,0.4799999999999999,0.5769383918091195,0.6405029365004338,0.9,D,Safe,0.602,Dem,0.1658593287778864,b'Johnson'
GA-5,-0.731,0.6729999999999999,1.0,0.8441610330936391,0.89,D,Safe,0.702,Dem,0.1802140705419277,b'Lewis'
GA-6,0.015,-0.2329999999999999,0.010296075252197,-0.2085702075958059,0.92,D,Safe,0.092,Dem,0.3101496752061887,b'McBath'
GA-7,0.063,-0.219,-0.0014940754026693,-0.1900265582313444,0.97,R,Vulnerable,0.028,Dem,0.4635723090293358,b'Woodall'
GA-8,0.289,-0.241,-1.0,-0.8379858508890164,0.91,R,Safe,-0.2929999999999999,Rep,0.6641190224293307,b'Scott'
GA-9,0.585,-0.576,-0.5901094584408277,-0.6818220258641554,0.97,R,Safe,-0.572,Rep,0.5747270781549315,b'Collins'
GA-10,0.255,-0.262,-0.2578393644606669,-0.6459521178043197,0.93,R,Safe,-0.246,Rep,0.8693609468694953,b'Hice'
GA-11,0.25,-0.354,-0.2358279126682552,-0.4887523004297503,0.96,R,Safe,-0.2079999999999999,Rep,0.7137914766500048,b'Loudermilk'
GA-12,0.1619999999999999,-0.1179999999999999,-0.1895612182570891,-0.1106605150445716,0.9,R,Safe,-0.1679999999999999,Rep,0.7815336398412744,b'Allen'
GA-13,-0.444,0.392,0.5236875975105575,0.7396443453707202,0.93,D,Safe,0.548,Dem,0.2957175112687464,b'Scott'
GA-14,0.529,-0.479,-0.5300360432519022,-0.7473649362117127,0.99,R,Safe,-0.495,Rep,0.5854302146874838,b'Graves'
HI-1,-0.326,0.407,0.5002524279223282,0.2736049915407384,0.97,D,Safe,0.4399999999999999,Dem,0.2780426463980139,b'Case'
HI-2,-0.3179999999999999,0.447,0.547246379737635,0.573385316385379,0.99,D,Safe,0.321,Dem,0.3056989252429375,b'Gabbard'
